id,official_name,name,maker,barcode,base_amount,base_unit,energy_kcal,protein_g,fat_g,carbohydrate_g,fiber_g,salt_g,calcium_mg,iron_mg,vitamin_a_mcg,vitamin_e_mg,vitamin_b1_mg,vitamin_b2_mg,vitamin_c_mg,saturated_fat_g
mext_01001,アマランサス　玄穀,アマランサス　玄穀,,,100,g,343,12.7,6,64.9,7.4,0,160,9.4,,1.3,0.04,0.14,0,
mext_01002,あわ　精白粒,あわ　精白粒,,,100,g,346,11.2,4.4,69.7,3.3,0,14,4.8,0,0.6,0.56,0.07,0,
mext_01003,あわ　あわもち,あわ　あわもち,,,1,個,105,2.55,0.65,22.65,0.75,0,2.5,0.35,0,0.05,0.04,0.005,0,
mext_01004,えんばく　オートミール,えんばく　オートミール,,,100,g,350,13.7,5.7,69.1,9.4,0,47,3.9,0,0.6,0.2,0.08,0,
mext_01005,おおむぎ　七分つき押麦,おおむぎ　七分つき押麦,,,100,g,343,10.9,2.1,72.1,10.3,0,23,1.3,0,0.2,0.22,0.07,0,
mext_01006,おおむぎ　押麦　乾,おおむぎ　押麦　乾,,,100,g,329,6.7,1.5,78.3,12.2,0,21,1.1,0,0.1,0.11,0.03,0,
mext_01170,おおむぎ　押麦　めし,おおむぎ　押麦　めし,,,100,g,118,2.2,0.5,28.5,4.2,0,6,0.4,0,,0.02,,0,
mext_01007,おおむぎ　米粒麦,おおむぎ　米粒麦,,,100,g,333,7,2.1,76.2,8.7,0,17,1.2,0,0.1,0.19,0.05,0,
mext_01008,おおむぎ　大麦めん　乾,おおむぎ　大麦めん　乾,,,100,g,343,12.9,1.7,68,6.3,2.8,27,2.1,0,,0.21,0.04,0,
mext_01009,おおむぎ　大麦めん　ゆで,おおむぎ　大麦めん　ゆで,,,100,g,121,4.8,0.6,24.3,2.5,0.2,12,0.9,0,,0.04,0.01,0,
mext_01010,おおむぎ　麦こがし,おおむぎ　麦こがし,,,100,g,368,12.5,5,77.1,15.5,0,43,3.1,0,0.5,0.09,0.1,0,
mext_01167,キヌア　玄穀,キヌア　玄穀,,,100,g,344,13.4,3.2,69,6.2,0.1,46,4.3,1,2.6,0.45,0.24,0,
mext_01011,きび　精白粒,きび　精白粒,,,100,g,353,11.3,3.3,70.9,1.6,0,9,2.1,0,,0.34,0.09,0,
mext_01012,こむぎ　［玄穀］　国産　普通,こむぎ　［玄穀］　国産　普通,,,100,g,329,10.8,3.1,72.1,14,0,26,3.2,0,1.2,0.41,0.09,0,
mext_01013,こむぎ　［玄穀］　輸入　軟質,こむぎ　［玄穀］　輸入　軟質,,,100,g,344,10.1,3.3,75.2,11.2,0,36,2.9,0,1.2,0.49,0.09,0,
mext_01014,こむぎ　［玄穀］　輸入　硬質,こむぎ　［玄穀］　輸入　硬質,,,100,g,332,13,3,69.4,11.4,0,26,3.2,0,1.2,0.35,0.09,0,
mext_01015,こむぎ　［小麦粉］　薄力粉　1等,こむぎ　［小麦粉］　薄力粉　1等,,,100,g,349,8.3,1.5,75.8,2.5,0,20,0.5,0,0.3,0.11,0.03,0,
mext_01016,こむぎ　［小麦粉］　薄力粉　2等,こむぎ　［小麦粉］　薄力粉　2等,,,100,g,345,9.3,1.9,74.3,2.6,0,23,0.9,0,1,0.21,0.04,0,
mext_01018,こむぎ　［小麦粉］　中力粉　1等,こむぎ　［小麦粉］　中力粉　1等,,,100,g,337,9,1.6,75.1,2.8,0,17,0.5,0,0.3,0.1,0.03,0,
mext_01019,こむぎ　［小麦粉］　中力粉　2等,こむぎ　［小麦粉］　中力粉　2等,,,100,g,346,9.7,1.8,74,2.1,0,24,1.1,0,0.8,0.22,0.04,0,
mext_01020,こむぎ　［小麦粉］　強力粉　1等,こむぎ　［小麦粉］　強力粉　1等,,,100,g,337,11.8,1.5,71.7,2.7,0,17,0.9,0,0.3,0.09,0.04,0,
mext_01021,こむぎ　［小麦粉］　強力粉　2等,こむぎ　［小麦粉］　強力粉　2等,,,100,g,343,12.6,1.7,70.6,2.1,0,21,1,0,0.5,0.13,0.04,0,
mext_01023,こむぎ　［小麦粉］　強力粉　全粒粉,こむぎ　［小麦粉］　強力粉　全粒粉,,,100,g,320,12.8,2.9,68.2,11.2,0,26,3.1,0,1,0.34,0.09,0,
mext_01146,こむぎ　［小麦粉］　プレミックス粉　お好み焼き用,こむぎ　［小麦粉］　プレミックス粉　お好み焼き用,,,100,g,335,10.1,1.9,73.6,2.8,3.7,64,1,1,0.6,0.21,0.03,,
mext_01024,こむぎ　［小麦粉］　プレミックス粉　ホットケーキ用,こむぎ　［小麦粉］　プレミックス粉　ホットケーキ用,,,100,g,360,7.8,4,74.4,1.8,1,100,0.5,9,0.5,0.1,0.08,0,
mext_01147,こむぎ　［小麦粉］　プレミックス粉　から揚げ用,こむぎ　［小麦粉］　プレミックス粉　から揚げ用,,,100,g,311,10.2,1.2,70,2.6,9.7,110,1.2,5,0.3,0.15,0.07,0,
mext_01025,こむぎ　［小麦粉］　プレミックス粉　天ぷら用,こむぎ　［小麦粉］　プレミックス粉　天ぷら用,,,100,g,337,8.8,1.3,76.1,2.5,0.5,140,0.6,1,0.3,0.12,0.99,0,
mext_01171,こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター,こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター,,,100,g,132,3.3,0.5,30.2,1.9,0.2,84,0.2,3,0.1,0.04,0.16,0,
mext_01172,こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター　揚げ,こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター　揚げ,,,100,g,588,4.3,47.7,37,3.3,0.2,100,0.3,0,7.6,0.05,0.14,0,
mext_01026,こむぎ　［パン類］　角形食パン　食パン,こむぎ　［パン類］　角形食パン　食パン,,,1,枚,148.8,5.34,2.46,27.84,2.52,0.72,13.2,0.3,,0.24,0.042,0.03,0,
mext_01174,こむぎ　［パン類］　角形食パン　焼き,こむぎ　［パン類］　角形食パン　焼き,,,1,枚,161.4,5.82,2.7,30.36,2.76,0.78,15.6,0.3,,0.24,0.042,0.03,0,
mext_01175,こむぎ　［パン類］　角形食パン　耳を除いたもの,こむぎ　［パン類］　角形食パン　耳を除いたもの,,,1,枚,135.6,4.92,2.22,25.56,2.28,0.66,12,0.24,,0.18,0.036,0.03,0,
mext_01176,こむぎ　［パン類］　角形食パン　耳,こむぎ　［パン類］　角形食パン　耳,,,1,枚,163.8,5.82,2.7,30.48,2.82,0.78,13.8,0.3,0.6,0.24,0.036,0.036,,
mext_01206,こむぎ　［パン類］　食パン　リーンタイプ,こむぎ　［パン類］　食パン　リーンタイプ,,,1,枚,147.6,4.8,2.22,28.5,1.2,0.78,7.2,0.36,0,0.24,0.06,0.03,0,
mext_01207,こむぎ　［パン類］　食パン　リッチタイプ,こむぎ　［パン類］　食パン　リッチタイプ,,,1,枚,153.6,4.68,3.6,27.36,1.02,0.6,15,0.36,33,0.18,0.054,0.054,0,
mext_01205,こむぎ　［パン類］　山形食パン　食パン,こむぎ　［パン類］　山形食パン　食パン,,,1,枚,147.6,4.68,2.1,28.74,1.08,0.78,10.8,0.36,0,0.24,0.048,0.036,0,
mext_01028,こむぎ　［パン類］　コッペパン,こむぎ　［パン類］　コッペパン,,,100,g,273,9.2,3.8,54.7,3.9,1,22,0.5,1,0.6,0.08,0.07,0,
mext_01213,こむぎ　［パン類］　バンズ,こむぎ　［パン類］　バンズ,,,100,g,274,10.4,4.8,50.6,4.2,1.2,29,0.6,,0.7,0.11,0.06,,
mext_01030,こむぎ　［パン類］　乾パン,こむぎ　［パン類］　乾パン,,,100,g,386,9.5,4.4,78.8,3.1,1.2,30,1.2,0,1.1,0.14,0.06,0,
mext_01031,こむぎ　［パン類］　フランスパン,こむぎ　［パン類］　フランスパン,,,100,g,289,9.4,1.3,57.5,2.7,1.6,16,0.9,0,0.1,0.08,0.05,0,
mext_01032,こむぎ　［パン類］　ライ麦パン,こむぎ　［パン類］　ライ麦パン,,,100,g,252,8.4,2.2,52.7,5.6,1.2,16,1.4,0,0.3,0.16,0.06,0,
mext_01208,こむぎ　［パン類］　全粒粉パン,こむぎ　［パン類］　全粒粉パン,,,100,g,251,7.9,5.7,45.5,4.5,1,14,1.3,0,0.8,0.17,0.07,0,
mext_01033,こむぎ　［パン類］　ぶどうパン,こむぎ　［パン類］　ぶどうパン,,,100,g,263,8.2,3.5,51.1,2.2,1,32,0.9,,0.4,0.11,0.05,,
mext_01034,こむぎ　［パン類］　ロールパン,こむぎ　［パン類］　ロールパン,,,1,個,92.7,3.03,2.7,14.58,0.6,0.36,13.2,0.21,0.3,0.15,0.03,0.018,0,
mext_01209,こむぎ　［パン類］　クロワッサン　レギュラータイプ,こむぎ　［パン類］　クロワッサン　レギュラータイプ,,,100,g,406,6.5,20.4,51.5,1.9,1.4,27,0.4,37,2.6,0.11,0.09,0,
mext_01035,こむぎ　［パン類］　クロワッサン　リッチタイプ,こむぎ　［パン類］　クロワッサン　リッチタイプ,,,100,g,438,7.9,26.8,43.9,1.8,1.2,21,0.6,6,1.9,0.08,0.03,0,
mext_01210,こむぎ　［パン類］　くるみパン,こむぎ　［パン類］　くるみパン,,,100,g,292,8.2,12.6,38.7,2.4,0.8,35,0.8,16,0.4,0.11,0.09,0,
mext_01036,こむぎ　［パン類］　イングリッシュマフィン,こむぎ　［パン類］　イングリッシュマフィン,,,100,g,224,8.1,3.6,40.8,1.2,1.2,53,0.9,,0.3,0.15,0.08,0,
mext_01037,こむぎ　［パン類］　ナン,こむぎ　［パン類］　ナン,,,100,g,257,10.3,3.4,47.6,2,1.3,11,0.8,0,0.6,0.13,0.06,0,
mext_01148,こむぎ　［パン類］　ベーグル,こむぎ　［パン類］　ベーグル,,,100,g,270,9.6,2,54.6,2.5,1.2,24,1.3,,0.2,0.19,0.08,,
mext_01038,こむぎ　［うどん・そうめん類］　うどん　生,こむぎ　［うどん・そうめん類］　うどん　生,,,100,g,249,6.1,0.6,56.8,3.6,2.5,18,0.3,0,0.2,0.09,0.03,0,
mext_01039,こむぎ　［うどん・そうめん類］　うどん　ゆで,こむぎ　［うどん・そうめん類］　うどん　ゆで,,,100,g,95,2.6,0.4,21.6,1.3,0.3,6,0.2,0,0.1,0.02,0.01,0,
mext_01186,こむぎ　［うどん・そうめん類］　うどん　半生うどん,こむぎ　［うどん・そうめん類］　うどん　半生うどん,,,100,g,296,7.8,3.4,62.5,4.1,3,22,0.6,0,0.2,0.1,0.03,0,
mext_01041,こむぎ　［うどん・そうめん類］　干しうどん　乾,こむぎ　［うどん・そうめん類］　干しうどん　乾,,,100,g,333,8.5,1.1,71.9,2.4,4.3,17,0.6,0,0.3,0.08,0.02,0,
mext_01042,こむぎ　［うどん・そうめん類］　干しうどん　ゆで,こむぎ　［うどん・そうめん類］　干しうどん　ゆで,,,100,g,117,3.1,0.5,25.8,0.7,0.5,7,0.2,0,0.1,0.02,0.01,0,
mext_01043,こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　乾,こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　乾,,,100,g,333,9.5,1.1,72.7,2.5,3.8,17,0.6,0,0.3,0.08,0.02,0,
mext_01044,こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　ゆで,こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　ゆで,,,100,g,114,3.5,0.4,25.8,0.9,0.2,6,0.2,0,0.1,0.02,0.01,0,
mext_01045,こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　乾,こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　乾,,,100,g,312,9.3,1.5,68.9,1.8,5.8,20,0.6,0,0.1,0.06,0.02,0,
mext_01046,こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　ゆで,こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　ゆで,,,100,g,119,3.5,0.6,25.5,1,0.3,6,0.2,0,,0.03,0.01,0,
mext_01047,こむぎ　［中華めん類］　中華めん　生,こむぎ　［中華めん類］　中華めん　生,,,100,g,249,8.6,1.2,55.7,5.4,1,21,0.5,0,0.2,0.02,0.02,0,
mext_01048,こむぎ　［中華めん類］　中華めん　ゆで,こむぎ　［中華めん類］　中華めん　ゆで,,,100,g,133,4.9,0.6,29.2,2.8,0.2,20,0.3,0,0.1,0.01,0.01,0,
mext_01187,こむぎ　［中華めん類］　半生中華めん,こむぎ　［中華めん類］　半生中華めん,,,100,g,305,9.9,4,61.2,6.2,1.2,21,0.7,0,,0.07,0.03,0,
mext_01049,こむぎ　［中華めん類］　蒸し中華めん　蒸し中華めん,こむぎ　［中華めん類］　蒸し中華めん　蒸し中華めん,,,100,g,162,4.9,1.7,35.6,3.1,0.3,10,0.4,0,0.1,0,0.16,0,
mext_01188,こむぎ　［中華めん類］　蒸し中華めん  ソテー,こむぎ　［中華めん類］　蒸し中華めん  ソテー,,,100,g,211,5.2,4.9,38.9,3.6,0.3,10,0.4,0,0.1,0,0,0,
mext_01050,こむぎ　［中華めん類］　干し中華めん　乾,こむぎ　［中華めん類］　干し中華めん　乾,,,100,g,337,11.7,1.6,70.2,6,1,21,1.1,0,0.2,0.02,0.03,0,
mext_01051,こむぎ　［中華めん類］　干し中華めん　ゆで,こむぎ　［中華めん類］　干し中華めん　ゆで,,,100,g,131,4.9,0.5,27.5,2.6,0.2,13,0.4,0,,0,0,0,
mext_01052,こむぎ　［中華めん類］　沖縄そば　生,こむぎ　［中華めん類］　沖縄そば　生,,,100,g,266,9.2,2,54.2,2.1,2.1,11,0.7,0,0.3,0.02,0.04,0,
mext_01053,こむぎ　［中華めん類］　沖縄そば　ゆで,こむぎ　［中華めん類］　沖縄そば　ゆで,,,100,g,132,5.2,0.8,28,1.5,0.4,9,0.4,0,0.2,0.01,0.02,0,
mext_01054,こむぎ　［中華めん類］　干し沖縄そば　乾,こむぎ　［中華めん類］　干し沖縄そば　乾,,,100,g,317,12,1.7,67.8,2.1,4.3,23,1.5,0,0.1,0.12,0.05,0,
mext_01055,こむぎ　［中華めん類］　干し沖縄そば　ゆで,こむぎ　［中華めん類］　干し沖縄そば　ゆで,,,100,g,132,5.2,0.6,28.6,1.5,0.5,11,0.5,0,,0.02,0.02,0,
mext_01056,こむぎ　［即席めん類］　即席中華めん　油揚げ味付け,こむぎ　［即席めん類］　即席中華めん　油揚げ味付け,,,100,g,424,10.1,16.7,63.5,2.5,6.4,430,1,0,3.1,1.46,1.67,0,
mext_01057,こむぎ　［即席めん類］　即席中華めん　油揚げ　乾　（添付調味料等を含むもの）,こむぎ　［即席めん類］　即席中華めん　油揚げ　乾　（添付調味料等を含むもの）,,,100,g,439,10.1,19.1,61.4,2.4,5.6,230,0.9,1,2.2,0.55,0.83,,
mext_01198,こむぎ　［即席めん類］　即席中華めん　油揚げ　調理後全体　（添付調味料等を含むもの）,こむぎ　［即席めん類］　即席中華めん　油揚げ　調理後全体　（添付調味料等を含むもの）,,,100,g,100,2.3,4.4,13.4,0.5,1.1,28,0.2,0,0.5,0.02,0.13,0,
mext_01189,こむぎ　［即席めん類］　即席中華めん　油揚げ　ゆで　（添付調味料等を含まないもの）,こむぎ　［即席めん類］　即席中華めん　油揚げ　ゆで　（添付調味料等を含まないもの）,,,100,g,189,3.9,7.7,27.9,2.6,0.4,95,0.2,0,0.8,0.05,0.06,0,
mext_01144,こむぎ　［即席めん類］　即席中華めん　油揚げ　乾　（添付調味料等を含まないもの）,こむぎ　［即席めん類］　即席中華めん　油揚げ　乾　（添付調味料等を含まないもの）,,,100,g,453,8.9,19.6,65.5,5.5,1.5,220,0.6,0,2.2,0.16,0.19,0,
mext_01058,こむぎ　［即席めん類］　即席中華めん　非油揚げ　乾　（添付調味料等を含むもの）,こむぎ　［即席めん類］　即席中華めん　非油揚げ　乾　（添付調味料等を含むもの）,,,100,g,336,10.3,5.2,67.1,2.3,6.9,110,0.8,1,1.3,0.21,0.04,0,
mext_01199,こむぎ　［即席めん類］　即席中華めん　非油揚げ　調理後全体　（添付調味料等を含むもの）,こむぎ　［即席めん類］　即席中華めん　非油揚げ　調理後全体　（添付調味料等を含むもの）,,,100,g,93,3,0.8,18.7,0.6,1.1,6,0.2,0,0.2,0.01,0.01,0,
mext_01190,こむぎ　［即席めん類］　即席中華めん　非油揚げ　ゆで　（添付調味料等を含まないもの）,こむぎ　［即席めん類］　即席中華めん　非油揚げ　ゆで　（添付調味料等を含まないもの）,,,100,g,139,3.4,0.8,31,2.7,0.6,94,0.2,3,0.7,,,0,
mext_01145,こむぎ　［即席めん類］　即席中華めん　非油揚げ　乾　（添付調味料等を含まないもの）,こむぎ　［即席めん類］　即席中華めん　非油揚げ　乾　（添付調味料等を含まないもの）,,,100,g,334,8.5,1.9,75.2,6.5,3,230,0.6,5,1.7,0.01,0.01,0,
mext_01193,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　乾　（添付調味料等を含むもの）,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　乾　（添付調味料等を含むもの）,,,100,g,422,10.9,18.5,58.6,5.8,5.8,190,0.7,26,3.1,0.9,0.61,2,
mext_01201,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　調理後全体　（添付調味料等を含むもの）,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　調理後全体　（添付調味料等を含むもの）,,,100,g,92,2.5,4.2,13.2,1.3,1.3,43,0.2,6,0.7,0.2,0.14,1,
mext_01194,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　調理後のめん　（スープを残したもの）,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　調理後のめん　（スープを残したもの）,,,100,g,175,3.8,7.7,25.2,2.2,1.1,76,0.3,6,1.2,0.19,0.14,0,
mext_01191,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　乾　（添付調味料等を含むもの）,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　乾　（添付調味料等を含むもの）,,,100,g,417,10,19.1,54.6,6.1,6.3,200,0.8,12,2.7,0.61,0.52,2,
mext_01200,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　調理後全体　（添付調味料等を含むもの）,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　調理後全体　（添付調味料等を含むもの）,,,100,g,90,2.3,4.5,12.9,1.4,1.5,46,0.2,3,0.6,0.14,0.12,1,
mext_01192,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　調理後のめん　（スープを残したもの）,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　調理後のめん　（スープを残したもの）,,,100,g,142,3,5.8,20.7,1.9,1.1,74,0.2,1,0.9,0.15,0.14,0,
mext_01060,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　乾　（添付調味料等を含むもの）,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　乾　（添付調味料等を含むもの）,,,100,g,418,8.2,18.6,57.5,5.7,3.8,180,1,4,3.1,0.48,0.66,1,
mext_01202,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　調理後全体　（添付調味料等を含むもの）,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　調理後全体　（添付調味料等を含むもの）,,,100,g,222,5,11.3,34.2,3.3,2.3,94,0.4,2,1.8,0.28,0.3,2,
mext_01061,こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　乾　（添付調味料等を含むもの）,こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　乾　（添付調味料等を含むもの）,,,100,g,314,9.2,5.8,62.6,6.4,7.1,48,1.2,12,1.1,0.16,0.13,1,
mext_01203,こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　調理後全体　（添付調味料等を含むもの）,こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　調理後全体　（添付調味料等を含むもの）,,,100,g,66,2.5,2.1,10.2,1.5,1.4,44,0.2,3,0.3,0.1,0.1,2,
mext_01195,こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　調理後のめん　（スープを残したもの）,こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　調理後のめん　（スープを残したもの）,,,100,g,121,3.4,1.3,25.3,2.5,1,76,0.3,,0.3,0.05,0.06,0,
mext_01062,こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　乾　（添付調味料等を含むもの）,こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　乾　（添付調味料等を含むもの）,,,100,g,437,10.9,19.8,56.1,6,6.7,170,1.3,4,2.6,0.11,0.05,1,
mext_01204,こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　調理後全体　（添付調味料等を含むもの）,こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　調理後全体　（添付調味料等を含むもの）,,,100,g,91,2.2,4.7,11.2,1.4,1.4,41,0.2,,0.6,0.19,0.08,2,
mext_01196,こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　調理後のめん　（スープを残したもの）,こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　調理後のめん　（スープを残したもの）,,,100,g,163,2.7,7.2,24.4,2.4,1.1,78,0.2,0,1,0.15,0.06,1,
mext_01063,こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　乾,こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　乾,,,100,g,347,12.9,1.8,73.1,5.4,0,18,1.4,1,0.3,0.19,0.06,0,
mext_01064,こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　ゆで,こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　ゆで,,,100,g,150,5.8,0.9,32.2,3,1.2,8,0.7,0,0.1,0.06,0.03,0,
mext_01173,こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　ソテー,こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　ソテー,,,100,g,186,5.5,5.8,30.5,2.9,1.1,8,0.7,0,0.9,0.06,0.03,0,
mext_01149,こむぎ　［マカロニ・スパゲッティ類］　生パスタ　生,こむぎ　［マカロニ・スパゲッティ類］　生パスタ　生,,,100,g,232,7.8,1.9,46.9,1.5,1.2,12,0.5,0,0.1,0.05,0.04,0,
mext_01065,こむぎ　［ふ類］　生ふ,こむぎ　［ふ類］　生ふ,,,100,g,161,12.7,0.8,26.2,0.5,0,13,1.3,0,,0.08,0.03,0,
mext_01066,こむぎ　［ふ類］　焼きふ　釜焼きふ,こむぎ　［ふ類］　焼きふ　釜焼きふ,,,100,g,357,28.5,2.7,56.9,3.7,0,33,3.3,0,0.5,0.16,0.07,0,
mext_01067,こむぎ　［ふ類］　焼きふ　板ふ,こむぎ　［ふ類］　焼きふ　板ふ,,,100,g,351,25.6,3.3,57.3,3.8,0.5,31,4.9,0,0.6,0.2,0.08,0,
mext_01068,こむぎ　［ふ類］　焼きふ　車ふ,こむぎ　［ふ類］　焼きふ　車ふ,,,100,g,361,30.2,3.4,54.2,2.6,0.3,25,4.2,0,0.4,0.12,0.07,0,
mext_01177,こむぎ　［ふ類］　油ふ,こむぎ　［ふ類］　油ふ,,,100,g,547,22.7,35.3,34.4,,0.1,19,1.7,0,3.9,0.07,0.03,,
mext_01070,こむぎ　［その他］　小麦はいが,こむぎ　［その他］　小麦はいが,,,100,g,391,32,11.6,48.3,14.3,0,42,9.4,5,28,1.82,0.71,0,
mext_01071,こむぎ　［その他］　小麦たんぱく　粉末状,こむぎ　［その他］　小麦たんぱく　粉末状,,,100,g,398,72,9.7,10.6,2.4,0.2,75,6.6,1,1.1,0.03,0.12,0,
mext_01072,こむぎ　［その他］　小麦たんぱく　粒状,こむぎ　［その他］　小麦たんぱく　粒状,,,100,g,101,20,2,1.8,0.4,0.1,14,1.8,0,0.5,0.02,0.01,0,
mext_01073,こむぎ　［その他］　小麦たんぱく　ペースト状,こむぎ　［その他］　小麦たんぱく　ペースト状,,,100,g,145,25,4.1,3.9,0.5,0.6,30,3,1,1.7,0.2,0.03,0,
mext_01178,こむぎ　［その他］　かやきせんべい,こむぎ　［その他］　かやきせんべい,,,100,g,359,10.6,1.9,75.1,,2.5,19,0.8,0,0.3,0.17,0.02,,
mext_01074,こむぎ　［その他］　ぎょうざの皮　生,こむぎ　［その他］　ぎょうざの皮　生,,,100,g,275,9.3,1.4,57,2.2,0,16,0.8,0,0.2,0.08,0.04,0,
mext_01075,こむぎ　［その他］　しゅうまいの皮　生,こむぎ　［その他］　しゅうまいの皮　生,,,100,g,275,8.3,1.4,58.9,2.2,0,16,0.6,0,0.2,0.09,0.04,0,
mext_01179,こむぎ　［その他］　春巻きの皮　生,こむぎ　［その他］　春巻きの皮　生,,,100,g,288,8.3,1.6,62.2,4.5,1.1,13,0.3,0,,0.03,0.01,,
mext_01180,こむぎ　［その他］　春巻きの皮　揚げ,こむぎ　［その他］　春巻きの皮　揚げ,,,100,g,512,7.2,30.7,53.7,4.2,0.9,11,0.3,0,4.9,0.02,0.01,,
mext_01076,こむぎ　［その他］　ピザ生地,こむぎ　［その他］　ピザ生地,,,100,g,265,9.1,3,51.1,2.3,1.3,13,0.8,0,0.3,0.15,0.11,0,
mext_01069,こむぎ　［その他］　ちくわぶ,こむぎ　［その他］　ちくわぶ,,,100,g,160,7.1,1.2,31.1,1.5,0,8,0.5,0,,0.01,0.02,0,
mext_01077,こむぎ　［その他］　パン粉　生,こむぎ　［その他］　パン粉　生,,,100,g,277,11,5.1,47.6,3,0.9,25,1.1,,0.3,0.11,0.02,0,
mext_01078,こむぎ　［その他］　パン粉　半生,こむぎ　［その他］　パン粉　半生,,,100,g,315,12.5,5.8,54.3,3.5,1,28,1.2,,0.4,0.13,0.03,0,
mext_01079,こむぎ　［その他］　パン粉　乾燥,こむぎ　［その他］　パン粉　乾燥,,,100,g,349,14.9,4.1,67.4,6.5,1.4,25,1.1,,0.4,0.16,0.05,,
mext_01150,こむぎ　［その他］　冷めん　生,こむぎ　［その他］　冷めん　生,,,100,g,249,3.9,0.7,57.6,1.1,1.3,11,0.3,0,0,0.04,,0,
mext_01080,こめ　［水稲穀粒］　玄米,こめ　［水稲穀粒］　玄米,,,1,合,519,10.2,4.05,111.45,4.5,0,13.5,3.15,,1.8,0.615,0.06,0,
mext_01081,こめ　［水稲穀粒］　半つき米,こめ　［水稲穀粒］　半つき米,,,1,合,517.5,9.75,2.7,113.85,2.1,0,10.5,2.25,0,1.2,0.45,0.045,0,
mext_01082,こめ　［水稲穀粒］　七分つき米,こめ　［水稲穀粒］　七分つき米,,,1,合,522,9.45,2.25,114.9,1.35,0,9,1.95,0,0.6,0.36,0.045,0,
mext_01083,こめ　［水稲穀粒］　精白米　うるち米,こめ　［水稲穀粒］　精白米　うるち米,,,1,合,513,9.15,1.35,116.4,0.75,0,7.5,1.2,0,0.15,0.12,0.03,0,
mext_01151,こめ　［水稲穀粒］　精白米　もち米,こめ　［水稲穀粒］　精白米　もち米,,,1,合,514.5,9.6,1.8,115.8,0.75,0,7.5,0.3,0,0.3,0.18,0.03,0,
mext_01152,こめ　［水稲穀粒］　精白米　インディカ米,こめ　［水稲穀粒］　精白米　インディカ米,,,1,合,520.5,11.1,1.35,116.55,0.75,0,7.5,0.75,0,,0.09,0.03,0,
mext_01084,こめ　［水稲穀粒］　はいが精米,こめ　［水稲穀粒］　はいが精米,,,1,合,514.5,9.75,3,113.7,1.95,0,10.5,1.35,0,1.35,0.345,0.045,0,
