id,official_name,name,maker,barcode,base_amount,base_unit,energy_kcal,protein_g,fat_g,carbohydrate_g,fiber_g,salt_g,calcium_mg,iron_mg,vitamin_a_mcg,vitamin_e_mg,vitamin_b1_mg,vitamin_b2_mg,vitamin_c_mg,saturated_fat_g
mext_06186,（トマト類）　加工品　ミックスジュース　食塩添加,加工品　ミックスジュース　食塩添加,,,100,g,18,0.6,0,4.3,0.7,0.2,11,0.3,32,0.8,0.03,0.03,3,
mext_06341,（トマト類）　加工品　ミックスジュース　食塩無添加,加工品　ミックスジュース　食塩無添加,,,100,g,18,0.6,0,4.3,0.7,0,11,0.3,32,0.8,0.03,0.03,3,
mext_06187,トレビス　葉　生,トレビス　葉　生,,,100,g,17,1.1,0.2,3.9,2,0,21,0.3,1,0.1,0.04,0.04,6,
mext_06188,とんぶり　ゆで,とんぶり　ゆで,,,100,g,89,6.1,3.5,12.9,7.1,0,15,2.8,67,4.6,0.11,0.17,1,
mext_06189,ながさきはくさい　葉　生,ながさきはくさい　葉　生,,,100,g,12,1.3,0.1,2.6,2.2,0.1,140,2.3,160,1.3,0.05,0.13,88,
mext_06190,ながさきはくさい　葉　ゆで,ながさきはくさい　葉　ゆで,,,100,g,18,2.2,0.1,3.4,2.4,0,120,1.6,220,1.3,0.02,0.07,23,
mext_06191,（なす類）　なす　果実　生,なす　果実　生,,,100,g,18,1.1,0.1,5.1,2.2,0,18,0.3,8,0.3,0.05,0.05,4,
mext_06192,（なす類）　なす　果実　ゆで,なす　果実　ゆで,,,100,g,17,1,0.1,4.5,2.1,0,20,0.3,8,0.3,0.04,0.04,1,
mext_06342,（なす類）　なす　果実　油いため,なす　果実　油いため,,,100,g,73,1.5,5.8,6.3,2.6,0,22,0.4,16,1.4,0.06,0.07,2,
mext_06343,（なす類）　なす　果実　天ぷら,なす　果実　天ぷら,,,100,g,165,1.6,14,12,1.9,0.1,31,0.2,9,2.6,0.05,0.07,2,
mext_06193,（なす類）　べいなす　果実　生,べいなす　果実　生,,,100,g,20,1.1,0.1,5.3,2.4,0,10,0.4,4,0.3,0.04,0.04,6,
mext_06194,（なす類）　べいなす　果実　素揚げ,べいなす　果実　素揚げ,,,100,g,177,1,17,6.7,1.8,0,10,0.4,2,2.5,0.05,0.04,2,
mext_06195,（なす類）　漬物　塩漬,漬物　塩漬,,,100,g,22,1.4,0.1,5.2,2.7,2.2,18,0.6,4,0.3,0.03,0.04,7,
mext_06196,（なす類）　漬物　ぬかみそ漬,漬物　ぬかみそ漬,,,100,g,27,1.7,0.1,6.1,2.7,2.5,21,0.5,2,0.3,0.1,0.04,8,
mext_06197,（なす類）　漬物　こうじ漬,漬物　こうじ漬,,,100,g,87,5.5,0.1,18.2,4.2,6.6,65,1.4,,0.5,0.03,0.05,0,
mext_06198,（なす類）　漬物　からし漬,漬物　からし漬,,,100,g,127,2.6,0.2,30.7,4.2,4.8,71,1.5,6,0.2,0.06,0.04,87,
mext_06199,（なす類）　漬物　しば漬,漬物　しば漬,,,100,g,27,1.4,0.2,7,4.4,4.1,30,1.7,48,0.7,0,0.02,0,
mext_06200,なずな　葉　生,なずな　葉　生,,,100,g,35,4.3,0.1,7,5.4,0,290,2.4,430,2.5,0.15,0.27,110,
mext_06201,（なばな類）　和種なばな　花らい・茎　生,和種なばな　花らい・茎　生,,,100,g,34,4.4,0.2,5.8,4.2,0,160,2.9,180,2.9,0.16,0.28,130,
mext_06202,（なばな類）　和種なばな　花らい・茎　ゆで,和種なばな　花らい・茎　ゆで,,,100,g,28,4.7,0.1,4.3,4.3,0,140,1.7,200,2.8,0.07,0.14,44,
mext_06203,（なばな類）　洋種なばな　茎葉　生,洋種なばな　茎葉　生,,,100,g,36,4.1,0.4,6,3.7,0,97,0.9,220,1.7,0.11,0.24,110,
mext_06204,（なばな類）　洋種なばな　茎葉　ゆで,洋種なばな　茎葉　ゆで,,,100,g,30,3.6,0.4,5.3,4.1,0,95,0.7,230,1.6,0.06,0.13,55,
mext_06205,にがうり　果実　生,にがうり　果実　生,,,100,g,15,1,0.1,3.9,2.6,0,14,0.4,17,0.8,0.05,0.07,76,
mext_06206,にがうり　果実　油いため,にがうり　果実　油いため,,,100,g,47,1.2,3.3,4.6,2.8,0,14,0.5,19,0.9,0.05,0.08,75,
mext_06207,（にら類）　にら　葉　生,にら　葉　生,,,100,g,18,1.7,0.3,4,2.7,0,48,0.7,290,2.5,0.06,0.13,19,
mext_06208,（にら類）　にら　葉　ゆで,にら　葉　ゆで,,,100,g,27,2.6,0.5,5.7,4.3,0,51,0.7,370,3.1,0.04,0.12,11,
mext_06344,（にら類）　にら　葉　油いため,にら　葉　油いため,,,100,g,69,1.9,5.7,4.9,3.5,0,48,0.8,380,4.1,0.06,0.16,21,
mext_06209,（にら類）　花にら　花茎・花らい　生,花にら　花茎・花らい　生,,,100,g,27,1.9,0.2,5.9,2.8,0,22,0.5,91,1,0.07,0.08,23,
mext_06210,（にら類）　黄にら　葉　生,黄にら　葉　生,,,100,g,18,2.1,0.1,3.3,2,0,15,0.7,5,0.3,0.05,0.08,15,
mext_06211,（にんじん類）　葉にんじん　葉　生,葉にんじん　葉　生,,,1,本,24,1.65,0.3,5.55,4.05,0.15,138,1.35,210,1.65,0.09,0.18,33,
mext_06212,（にんじん類）　にんじん　根　皮つき　生,にんじん　根　皮つき　生,,,1,本,52.5,1.05,0.3,13.95,4.2,0.15,42,0.3,1080,0.6,0.105,0.09,9,
mext_06213,（にんじん類）　にんじん　根　皮つき　ゆで,にんじん　根　皮つき　ゆで,,,100,g,29,0.6,0.2,8.4,3,0.1,32,0.3,710,0.4,0.06,0.05,4,
mext_06214,（にんじん類）　にんじん　根　皮なし　生,にんじん　根　皮なし　生,,,1,個,80,1.75,0.5,22,7,0.25,60,0.5,1575,1.25,0.1,0.075,10,
mext_06215,（にんじん類）　にんじん　根　皮なし　ゆで,にんじん　根　皮なし　ゆで,,,1,個,70,1.75,0.25,21.25,7,0.25,72.5,0.5,1825,1,0.15,0.125,10,
mext_06345,（にんじん類）　にんじん　根　皮なし　油いため,にんじん　根　皮なし　油いため,,,1,個,257.5,2.75,16,31,7.75,0.25,87.5,0.75,2500,4.25,0.275,0.2,12.5,
mext_06346,（にんじん類）　にんじん　根　皮なし　素揚げ,にんじん　根　皮なし　素揚げ,,,1,個,217.5,2.5,8.75,34.75,2.75,0.25,90,0.75,825,4,0.25,0.175,15,
mext_06407,（にんじん類）　にんじん　根　皮なし　カット　常法洗浄,にんじん　根　皮なし　カット　常法洗浄,,,1,個,67.5,1.25,0.5,18.25,6.75,0,65,0.5,1700,1,0.1,0.075,7.5,
mext_06408,（にんじん類）　にんじん　根　皮なし　カット　次亜塩素酸洗浄,にんじん　根　皮なし　カット　次亜塩素酸洗浄,,,1,個,67.5,1.5,0.5,18,6.5,0,67.5,0.5,1625,1,0.1,0.075,7.5,
mext_06347,（にんじん類）　にんじん　根　皮　生,にんじん　根　皮　生,,,1,本,39,1.05,0.3,10.95,5.7,0,67.5,0.45,1080,0.75,0.075,0.075,6,
mext_06216,（にんじん類）　にんじん　根　冷凍,にんじん　根　冷凍,,,100,g,30,0.8,0.2,8.2,4.1,0.1,30,0.3,920,0.8,0.04,0.02,4,
mext_06380,（にんじん類）　にんじん　根　冷凍　ゆで,にんじん　根　冷凍　ゆで,,,100,g,24,0.7,0.2,7,3.5,0.1,31,0.3,1000,0.9,0.03,0.02,1,
mext_06381,（にんじん類）　にんじん　根　冷凍　油いため,にんじん　根　冷凍　油いため,,,100,g,65,0.9,4,9.3,4.2,0.2,33,0.3,1100,1.5,0.04,0.03,2,
mext_06348,（にんじん類）　にんじん　グラッセ,にんじん　グラッセ,,,100,g,53,0.7,1.4,12.7,2.6,1,26,0.2,880,0.7,0.03,0.03,2,
mext_06217,（にんじん類）　にんじん　ジュース　缶詰,にんじん　ジュース　缶詰,,,100,g,29,0.6,0.1,6.7,0.2,0,10,0.2,370,0.2,0.03,0.04,1,
mext_06218,（にんじん類）　きんとき　根　皮つき　生,きんとき　根　皮つき　生,,,100,g,39,1.8,0.2,9.6,3.9,0,37,0.4,410,0.5,0.07,0.05,8,
mext_06219,（にんじん類）　きんとき　根　皮つき　ゆで,きんとき　根　皮つき　ゆで,,,100,g,37,1.9,0.2,9.2,4.3,0,39,0.5,410,0.5,0.07,0.05,6,
mext_06220,（にんじん類）　きんとき　根　皮なし　生,きんとき　根　皮なし　生,,,1,個,100,4.5,0.75,24.25,9,0,85,1,950,1.25,0.175,0.125,20,
mext_06221,（にんじん類）　きんとき　根　皮なし　ゆで,きんとき　根　皮なし　ゆで,,,1,個,100,4.75,1,24,10.25,0,95,1,1000,1.25,0.15,0.15,20,
mext_06409,（にんじん類）　島にんじん　根　皮なし　生,島にんじん　根　皮なし　生,,,1,個,87.5,2.75,1,22,9.75,0.25,85,1.25,55,3,0.175,0.125,35,
